"GCH103","26A","1","3","Adm Pub","1"
"GCH104","25A","2","7","Let","0"
"GCH104","26A","2","52","Adm Pub","1"
"GCH106","15A","1","4","MAT","3"
"GCH106","18A","1","3","FIS","3"
"GCH106","24A","1","6","Filosofia","0"
"GCH106","25A","1","3","Let","0"
"GCH106","26A","1","3","Adm Pub","2"
"GCH108","24A","2","51","Filosofia","1"
"GCH109","24A","1","49","Filosofia","1"
"GCH109","25A","1","43","Let","2"
"GCH109","25B","1","25","Let","2"
"GCH110","24A","1","6","Filosofia","0"
"GCH113","24A","2","9","Filosofia","5"
"GCH115","24A","2","6","Filosofia","3"
"GCH116","24A","2","14","Filosofia","3"
"GCH122","24A","2","11","Filosofia","5"
"GCH124","24A","2","14","Filosofia","5"
"GCH125","24A","2","17","Filosofia","5"
"GCH128","24A","2","7","Filosofia","8"
"GCH129","24A","2","13","Filosofia","3"
"GCH129","24B","2","7","Filosofia","7"
"GCH136","25A","2","63","Let","1"
"GCH137","25A","2","62","Let","1"
"GCH138","25A","2","41","Let","3"
"GCH141","24A","2","4","Filosofia","0"
"GCH141","25A","2","43","Let","2"
"GCH142","25A","2","32","Let","3"
"GCH143","25A","1","23","Let","4"
"GCH144","25A","2","1","Let","5"
"GCH147","24A","2","1","Filosofia","0"
"GCH147","25A","2","37","Let","3"
"GCH148","25A","1","1","Let","4"
"GCH149","25A","2","18","Let","4"
"GCH150","24A","1","2","Filosofia","0"
"GCH150","25A","1","23","Let","4"
"GCH151","25A","1","17","Let","5"
"GCH153","24A","2","1","Filosofia","0"
"GCH153","25A","2","23","Let","5"
"GCH154","25A","1","27","Let","6"
"GCH155","25A","2","30","Let","5"
"GCH155","25B","2","3","Let","6"
"GCH156","25A","1","32","Let","6"
"GCH157","25A","1","2","Let","6"
"GCH157","25B","1","9","Let","6"
"GCH158","25A","2","21","Let","6"
"GCH159","25A","2","29","Let","5"
"GCH160","25A","2","32","Let","7"
"GCH161","25A","1","25","Let","7"
"GCH161","25B","1","6","Let","7"
"GCH162","25A","2","55","Let","6"
"GCH162","25B","2","6","Let","7"
"GCH163","25A","1","37","Let","7"
"GCH164","25A","1","42","Let","6"
"GCH164","25B","1","4","Let","7"
"GCH164","25C","1","2","Let","6"
"GCH165","25A","2","47","Let","5"
"GCH165","25B","2","5","Let","7"
"GCH166","25A","1","25","Let","8"
"GCH167","25A","2","32","Let","8"
"GCH168","25A","1","29","Let","8"
"GCH169","25A","1","24","Let","8"
"GCH170","25A","1","28","Let","8"
"GCH171","25A","1","25","Let","8"
"GCH172","24A","1","4","Filosofia","7"
"GCH173","25A","2","40","Let","2"
"GCH175","25A","1","3","Let","3"
"GCH176","25A","1","10","Let","4"
"GCH177","25A","1","6","Let","6"
"GCH178","25A","1","3","Let","6"
"GCH182","25A","1","13","Let","0"
"GCH184","25A","1","16","Let","0"
"GCH189","26A","2","48","Adm Pub","2"
"GCH190","24A","2","5","Filosofia","0"
"GCH191","24A","1","6","Filosofia","2"
"GCH196","25A","2","58","Let","2"
"GCH197","25A","2","32","Let","2"
"GCH197","25B","2","7","Let","6"
"GCH199","25A","1","49","Let","1"
"GCH200","25A","2","62","Let","1"
"GCH201","25A","2","62","Let","1"
"GCH202","25A","2","62","Let","1"
"GCH203","25A","1","41","Let","2"
"GCH204","25A","2","43","Let","2"
"GCH205","25A","2","15","Let","4"
"GCH209","24A","2","51","Filosofia","1"
"GCH213","24A","2","11","Filosofia","3"
"GCH214","25A","2","41","Let","2"
"GCH216","25A","2","30","Let","3"
"GCH217","25A","2","43","Let","3"
"GCH218","25A","2","21","Let","4"
"GCH225","27A","2","65","DIR","1"
"GCH227","27A","2","68","DIR","1"
"GCH228","27A","2","59","DIR","3"
"GCH229","25A","2","21","Let","5"
"GCH234","25A","2","7","Let","8"
"GCH235","24A","2","55","Filosofia","1"
"GCH236","25A","2","20","Let","6"
"GCH238","27A","2","70","DIR","1"
